Sample	Species	Abundance
Ivanovka_Leaf_7_2022	Bacillus	1
Chaika_Leaf_7_2022	Bacillus	1
Akademka_Stem_7_2022	Rhizobium	1
Akademka_Stem_7_2022	Paenibacillus	1
Ivanovka_Leaf_7_2022	Bacillus	1
Ivanovka_Leaf_7_2022	Bacillus	1
Ivanovka_Leaf_7_2022	Bacillus	1
Ivanovka_Leaf_7_2022	Bacillus	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Rothia	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Chaika_Stem_7_2022	Staphylococcus	1
Ivanovka_Stem_7_2022	Curtobacterium	1
Ivanovka_Stem_7_2022	Streptomyces	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Paenibacillus	1
Ivanovka_Stem_7_2022	Curtobacterium	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Paenibacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Ivanovka_Stem_7_2022	Bacillus	1
Akademka_Leaf_7_2022	Paenibacillus	1
Akademka_Leaf_7_2022	Bacillus	1
Akademka_Leaf_7_2022	Paenibacillus	1
Akademka_Leaf_7_2022	Erwinia	1
Chaika_Stem_7_2022	Erwinia	1
Chaika_Stem_7_2022	Erwinia	1
Chaika_Leaf_7_2022	Bacillus	1
Chaika_Leaf_7_2022	Bacillus	1
Chaika_Leaf_7_2022	Bacillus	1
Chaika_Leaf_7_2022	Bacillus	1
